"","data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","verbatimLatitude","verbatimLongitude","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","occurrenceRemarks","coordinatePrecision","recordNumber","barcode","continentocean","minimumelevationinmeters","maximumelevationinmeters","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","phylum","class","order","infraspecificepithet","preparationtype","individualcount","previouscatalognumber","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetName","eventDate","fieldNotes","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","occurrenceID","individualCount","establishmentMeans","georeferenceVerificationStatus","occurrenceStatus","preparations","associatedOccurrences","otherCatalogNumbers","previousIdentifications","fieldNumber","startDayOfYear","endDayOfYear","higherGeography","continent","typeStatus","taxonID","acceptedNameUsageID","higherClassification","genericName","specificEpithet","infraspecificEpithet","verbatimTaxonRank","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","species","verbatimScientificName","protocol","lastParsed","lastCrawled","repatriated","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","geodeticDatum","imageCollectionCode","duplicates","recordedByExtra","dateCollected","verbatimElevationMax","measurementUnit","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Dioscorea dodecaneura","user","RB","RB00752597","Dioscorea dodecaneura Vell.","Plantae","Dioscoreaceae","Dioscorea","2010","4","8","Brasil","São Paulo",,"Parque Estadual de Porto Ferreira, trilha do Poção, ca. .","JBRJ","Preserved Specimen","A.P.C Oliveira","21º49´","47º25´W",,,"J.A. Lombardi; A.P.C. Oliveira","-47.4166667","-21.8166667",,"Liana, folhas papiráceas, flores amarelo claras.",,"7736",,,,,"Vell.",,,,,,,,,,,,"Porto Ferreira","2011-10",,,"BR",,"2010-04-08","Borda da trilha em cerradão e mata semidecídua.",,"sp.","Physical Object",,,,"RB",,"Lombardi, J.A.","7736","2010","Oliveira, A.P.C.","2011","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,"HRCB",,,"urn:catalog:JBRJ:RB:752597",,,,,,,"RB 565279",,,,,,,,,,,,"dodecaneura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/75/25/97/00752597.jpg","520","600",,,,,,,,"2017-10-15 08:30:39+00","Angiospermas","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","cncflora",TRUE,-21.8166667,-47.4166667,"coord_original","miliseconds","ok_same_resolution","Dioscorea dodecaneura","Vell.","name_w_authors","Dioscoreaceae","Dioscorea dodecaneura","Vell.","species","name accepted","bfo-7383",,,"Dioscorea dodecaneura Vell.","Dioscorea","Dioscoreaceae","low","Dioscorea dodecaneura"
"Dioscorea olfersiana","speciesLink","HRCB","52395","Dioscorea olfersiana","Plantae","Dioscoreaceae","Dioscorea","2010","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Trilha do Poção","UNESP-RC","PreservedSpecimen","Oliveira, A.P.C.","21º49'S","47º25'W","15","olfersiana","Lombardi, J.A.","-47.416667","-21.816667","2025-02-04T08:01:16","<nO>Liana, folhas carnosas, na face superior variegadas de verde claro e verde-acinzentado, flores cremeHabitat: Borda de trilha em cerradão e mata semidecídua</nO>",,"7741","HRCB052395",,"520","520","Klotzsch ex Griseb.","2011","09",,,,,,,,,"SPLINK","Porto Ferreira","2011-09-NA",,,,,,,,,,,,,"HRCB",,"Lombardi, J.A.","7741","2010","Oliveira, A.P.C.","2011",,"Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira trilha do pocao","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Dioscorea olfersiana","Klotzsch ex Griseb.","possibly_ok","Dioscoreaceae","Dioscorea olfersiana","Klotzsch ex Griseb.","species","name accepted","bfo-7401",,,"Dioscorea olfersiana Klotzsch ex Griseb.","Dioscorea","Dioscoreaceae","low","Dioscorea olfersiana"
"Diplazium cristatum","speciesLink","HUEFS","201975","Diplazium cristatum","Plantae","Athyriaceae","Diplazium","2010","07","13","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, Trilha das árvores gigantes, próxima a área de transição, atrás da figueira.","UEFS","PreservedSpecimen","T.E.Almeida","21Â°49'S","47Â°25'W","204","cristatum","Oliveira, A.P.C.","-47.416667","-21.816667","2025-04-30T14:34:00",,,"99","HUEFS0201975",,"520","600","(Desr.) Alston","2011","09",,"Pteridophyta","Polypodiopsida","Polypodiales",,,,,"SPLINK","Porto Ferreira","2011-09-NA",,,,,,,,,,,,,"HUEFS",,"Oliveira, A.P.C.","99","2010","Almeida, T.E.","2011",,"Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Diplazium cristatum","(Desr.) Alston","possibly_ok","Athyriaceae","Diplazium cristatum","(Desr.) Alston","species","name accepted","bfo-92313",,,"Diplazium cristatum (Desr.) Alston","Diplazium","Athyriaceae","low","Diplazium cristatum"
"Diplopterys pubipetala","speciesLink","FUEL","53523","Diplopterys pubipetala","Plantae","Malpighiaceae","Diplopterys","2010","10","14","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, Trilha do Poção","UEL","PreservedSpecimen","Mamede, MCH","-21.816667","-47.416667","48","pubipetala","Oliveira, APC; Osaco, M","-47.416667","-21.816667","2024-12-05T15:05:25","<nO>Liana, folhas cartáceas, face abaxial verde clara, frutos avermelhados; Borda de trilha em cerradão; área com clareira</nO>",,"114",,,"520","520","(A.Juss.) W.R.Anderson & C.C.Davis","2010","11",,"Tracheophyta",,"Malpighiales",,,,,"SPLINK","Porto Ferreira","2010-11-NA",,,,,,,,,,,,,"FUEL",,"Oliveira, A.P.C.","114","2010","Mamede, M.C.H.","2010","Osaco, M.","Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Diplopterys pubipetala","(A.Juss.) W.R.Anderson & C.C.Davis","possibly_ok","Malpighiaceae","Diplopterys pubipetala","(A.Juss.) W.R.Anderson & C.C.Davis","species","name accepted","bfo-25711",,,"Diplopterys pubipetala (A.Juss.) W.R.Anderson & C.C.Davis","Diplopterys","Malpighiaceae","high","Diplopterys pubipetala"
"Diplusodon virgatus","user","RB","RB00748181","Diplusodon virgatus Pohl","Plantae","Lythraceae","Diplusodon","2010","4","20","Brasil","São Paulo",,"Parque Estadual de Porto Ferreira, Trilha do Poção.","JBRJ","Preserved Specimen","A. P. C. Oliveira","21º49´","47º25´W",,,"A. P. C. Oliveira ; M. Osasco","-47.4166667","-21.8166667",,"Arbusto escandente, folhas cartáceas, bráctea cartáceas, bráctea verde, cálice verde persistente, corola branca, frutos marrons",,"14",,,,,"Pohl",,,,,,,,,,,,"Porto Ferreira","2011-8",,,"BR",,"2010-04-20","Borda de trilha em cerradão",,"sp.","Physical Object",,,,"RB",,"Oliveira, A.P.C.","14","2010","Oliveira, A.P.C.","2011","Osasco, M.","Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,"HRCB 52460",,,"urn:catalog:JBRJ:RB:748181",,,,,,,"RB 563988",,,,,,,,,,,,"virgatus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/74/81/81/00748181.jpg","520","600",,,,,,,,"2017-10-15 09:44:06+00","Angiospermas","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","cncflora",TRUE,-21.8166667,-47.4166667,"coord_original","miliseconds","ok_same_resolution","Diplusodon virgatus","Pohl","name_w_authors","Lythraceae","Diplusodon virgatus","Pohl","species","name accepted","bfo-8778",,,"Diplusodon virgatus Pohl","Diplusodon","Lythraceae","low","Diplusodon virgatus"
"Distimake macrocalyx","speciesLink","SP","425958","Distimake macrocalyx","Plantae","Convolvulaceae","Distimake","2010","04","29","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","IBt","PreservedSpecimen","Petrongari, FS","-21.816667","-47.416667","1","macrocalyx","Oliveira, APC","-47.416667","-21.816667","2024-11-29T10:49:55",,,"35",,,"520","600","(Ruiz & Pav.) A.R.Simões & Staples","2021","10",,,,,,,,,"SPLINK","Porto Ferreira","2021-10-NA",,,,,,,,,,,,,"SP",,"Oliveira, A.P.C.","35","2010","Petrongari, F.S.","2021",,"Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Distimake macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","possibly_ok","Convolvulaceae","Distimake macrocalyx","(Ruiz & Pav.) A.R. Simões & Staples","species","author misspelled","bfo-604876",,,"Distimake macrocalyx (Ruiz & Pav.) A.R. Simões & Staples","Distimake","Convolvulaceae","high","Distimake macrocalyx"
"Dolichandra unguis-cati","speciesLink","HRCB","68009","Dolichandra unguis-cati","Plantae","Bignoniaceae","Dolichandra","2015","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira","UNESP-RC","PreservedSpecimen","Taxonomia de Lianas","22°27'17.7""S","044°36'25.6""W","15","unguis-cati","Taxonomia de Lianas","-44.607111","-22.454917","2025-02-04T07:59:42","<nO>Floresta Estacional Semidecidual (borda). Trepadeira prêensil com estípula curta e rígida. Fruto marrom.</nO>",,"19","HRCB068009",,,,"(L.) L.G.Lohmann",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Lianas, T.","19","2015","Lianas, T.","n.d.",,"Lianas",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-22.454917,-44.607111,"coord_original","miliseconds","ok_same_resolution","Dolichandra unguis-cati","(L.) L.G.Lohmann","possibly_ok","Bignoniaceae","Dolichandra unguis-cati","(L.) L.G.Lohmann","species","name accepted","bfo-113320",,,"Dolichandra unguis-cati (L.) L.G.Lohmann","Dolichandra","Bignoniaceae","low","Dolichandra unguis-cati"
"Doliocarpus dentatus","speciesLink","SPFR","13812","Doliocarpus dentatus","Plantae","Dilleniaceae","Doliocarpus","2010","05","13","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, Trilha da borda do parque paralela à estrada","FFCLRP","PreservedSpecimen","Bruniera, C.P.","21o49'S","47o25'W","455","dentatus","Oliveira, A.P.C.; Campos, F.A.N.","-47.416667","-21.816667","2025-05-13T17:37:28","<nO>Liana, folhas coriáceas, face abaxial verde clara e pilosa, nervuras ferrugens, cálice e corola creme-esverdeados, estames numerosos, anteras amarelas, fruto imaturo verdeBorda de trilha em cerradão e mata semidecídua.</nO>",,"43","SPFR013812",,,,"(Aubl.) Standl.","2014",,,,,,,,,,"SPLINK","Porto Ferreira","2014-NA-NA",,,,,,,,,,,,,"SPFR",,"Oliveira, A.P.C.","43","2010","Bruniera, C.P.","2014","Campos, F.A.N.","Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira, trilha da borda do parque paralela a estrada","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Doliocarpus dentatus","(Aubl.) Standl.","possibly_ok","Dilleniaceae","Doliocarpus dentatus","(Aubl.) Standl.","species","name accepted","bfo-7357",,,"Doliocarpus dentatus (Aubl.) Standl.","Doliocarpus","Dilleniaceae","low","Doliocarpus dentatus"
"Dorstenia vitifolia","speciesLink","CEN","85746","Dorstenia vitifolia","Plantae","Moraceae","Dorstenia","2010","11","18",,"SP","PORTO FERREIRA","Parque Estadual de Porto Ferreira, trilha das Árvores Gigantes,ca. 21º49`, 47º25`, 520 - 600 m","Cenargen","PreservedSpecimen","A. P. C. Oliveira","-21,816666","-47,416666","399","vitifolia","Júlio Antônio Lombardi","-47.416666","-21.816666","2024-09-19T14:00:53","<nO>Ramo caido, Doação HERBARIUM RIOCLARENSE HRCB (54010) Florística vascular não-arborea do Parque Estadual de Porto Ferreira, SP , Brasil</nO>",,"7922","CEN00085746",,"520","520","Gardner","2011","12",,,,,,"Exsicatas","1",,"SPLINK","PORTO FERREIRA","2011-12-NA",,,,,,,,,,,,,"CEN",,"Lombardi, J.A.","7922","2010","Oliveira, A.P.C.","2011",,"Lombardi",,,"sp","porto ferreira","parque estadual de porto ferreira","no_info",,,,,"no_info",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816666,-47.416666,"coord_original","seconds","ok_same_resolution","Dorstenia vitifolia","Gardner","possibly_ok","Moraceae","Dorstenia vitifolia","Gardner","species","name accepted","bfo-111633",,,"Dorstenia vitifolia Gardner","Dorstenia","Moraceae","low","Dorstenia vitifolia"
"Duguetia lanceolata","speciesLink","HRCB","62083","Duguetia lanceolata","Plantae","Annonaceae","Duguetia","2013","09","24","Brasil","São Paulo","Porto Ferreira","Dique marginal do rio Mogi Guaçu Parque Estadual de Porto Ferreira","UNESP-RC","PreservedSpecimen","Assis, M.A.","21º51'25,67""S","47º26'06.53""W","15","lanceolata","Konopczyk, R.M.G.","-47.435147","-21.856944","2025-02-04T07:58:29","<nO>Árvore, 8 m de altura.</nO>",,"s.n.","HRCB062083",,"531","531","A.St.-Hil.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Konopczyk, R.M.G.","s.n.","2013","Assis, M.A.","n.d.",,"Konopczyk",,"brazil","sao paulo","porto ferreira","dique marginal do rio mogi guacu parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.856944,-47.435147,"coord_original","seconds","check_local.2municip.","Duguetia lanceolata","A.St.-Hil.","possibly_ok","Annonaceae","Duguetia lanceolata","A.St.-Hil.","species","name accepted","bfo-110319",,,"Duguetia lanceolata A.St.-Hil.","Duguetia","Annonaceae","low","Duguetia lanceolata"
"Elephantopus mollis","speciesLink","HRCB","52314","Elephantopus mollis","Plantae","Asteraceae","Elephantopus","2010","03","25","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Picada indo de próximo a sede em direção a trilha de uso extensivo dos Jequitibás","UNESP-RC","PreservedSpecimen","Lombardi, J.A.","21º49'S",,"15","mollis","Lombardi, J.A.","0","-21.816667","2025-02-04T07:59:11","<nO>Erva, folhas papiráceas, brácteas verdes, flores brancas.Habitat: Sub-bosque de cerradão e mata semidecídua.</nO>",,"7705","HRCB052314",,,,"Kunth","2010","03",,,,,,,,,"SPLINK","Porto Ferreira","2010-03-NA",,,,,,,,,,,,,"HRCB",,"Lombardi, J.A.","7705","2010","Lombardi, J.A.","2010",,"Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira picada indo de proximo a sede em direcao a trilha de uso extensivo dos jequitibas","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,0,"coord_original","minutes","check_local.2municip.","Elephantopus mollis","Kunth","possibly_ok","Asteraceae","Elephantopus mollis","Kunth","species","name accepted","bfo-16098",,,"Elephantopus mollis Kunth","Elephantopus","Asteraceae","low","Elephantopus mollis"
"Emilia fosbergii","speciesLink","HRCB","52524","Elvira fosbergii","Plantae","Asteraceae","Elvira","2010","05","20","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Trilha da borda do Parque paralela à estrada","UNESP-RC","PreservedSpecimen","Lombardi, J.A.","21º49'S","47º25'W","15","fosbergii","Oliveira, A.P.C.","-47.416667","-21.816667","2025-02-04T07:59:13","<nO>Erva ca. 0,5m, folhas carnosas, pilosas, brácteas verdes, flores vermelhas, antersa amarelas, frutos secos marrons.Habitat: Borda de trilha em cerradão e mata semidecídua</nO>",,"67","HRCB052524",,"520","520","Nicolson","2010","05",,,,,,,,,"SPLINK","Porto Ferreira","2010-05-NA",,,,,,,,,,,,,"HRCB",,"Oliveira, A.P.C.","67","2010","Lombardi, J.A.","2010",,"Oliveira",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira trilha da borda do parque paralela a estrada","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Emilia fosbergii","Nicolson","possibly_ok","Asteraceae","Emilia fosbergii","Nicolson","species","name misspelled","bfo-16104",,,"Emilia fosbergii Nicolson","Emilia","Asteraceae","low","Emilia fosbergii"
"Endlicheria paniculata","user","RB","RB00129304","Endlicheria paniculata (Spreng.) J.F.Macbr.","Plantae","Lauraceae","Endlicheria","1992","7","13","Brasil","São Paulo",,"Parque Estadual.","JBRJ","Preserved Specimen","J. B. Baitello",,,,,"J. E. A. Bertoni",,,,"Árvore, frutos verdes, cúpula vermelha. Código 108",,"165",,,,,"(Spreng.) J.F.Macbr.",,,,,,,,,,,,"Porto Ferreira",,,,"BR",,"1992-07-13","Mata ciliar.",,"sp.","Physical Object",,,,"RB",,"Bertoni, J.E.A.","165","1992","Baitello, J.B.","n.d.",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,"RB",,,"urn:catalog:JBRJ:RB:129304",,,,,,,"RB 404611",,,,,,,,,,,,"paniculata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/12/93/4/00129304.jpg",,,,,,,,,,"2014-11-06 09:39:17+00","Angiospermas","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","cncflora",TRUE,-21.850732,-47.431182,"coord_gazet","seconds","ok_same_resolution","Endlicheria paniculata","(Spreng.) J.F.Macbr.","name_w_authors","Lauraceae","Endlicheria paniculata","(Spreng.) J.F.Macbr.","species","name accepted","bfo-8417",,,"Endlicheria paniculata (Spreng.) J.F.Macbr.","Endlicheria","Lauraceae","high","Endlicheria paniculata"
"Epidendrum latilabrum","user","HUFU","HUFU00059246","Epidendrum latilabre Lindl.",,"Orchidaceae","Epidendrum",,,,"Brasil","São Paulo",,"Parque Estadual de Porto Ferreira ; Trilha de uso extensivo do Rio Mogi-Guaçú.","HUFU",,"Marcusso, GM","21º 30' 42"""" S","47º 15' 45"""" W",,,"Konopczyk, R.M.G.","-47.2625","-21.5116666666667",,"Holoepífita.",,,,,,,"Lindl.",,,,,,,,,,,"REFLORA","Porto Ferreira",,,,,,,,,"SPECIES",,"545",,,,,,,,,,,,,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,"não",,,,,,,,,,,,,,,,,,,,,,,,,,"latilabre","ORCHIDACEAE Epidendrum latilabre Lindl.",,,,,,,,,,,,,,,,,,,,"HUFU",,"Konopczyk, RMG",,,"METRO",,,"brazil_sao paulo_porto ferreira_parque estadual porto ferreira","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","cncflora",TRUE,-21.5116666666667,-47.2625,"coord_original","miliseconds","ok_same_resolution","Epidendrum latilabrum","Lindl.","name_w_authors","Orchidaceae","Epidendrum latilabrum","Lindl.","species","replaced orth. variant","bfo-11549","Epidendrum latilabrum","Lindl.","Epidendrum latilabrum Lindl.","Epidendrum","Orchidaceae","high","Epidendrum latilabrum"
"Epidendrum rigidum","user","HUFU","HUFU00059277","Epidendrum rigidum Jacq.",,"Orchidaceae","Epidendrum","2014","05","16","Brasil","São Paulo",,"Parque Estadual de Porto Ferreira ; Trilha de uso extensivo do rio Mogi-Guaçú.","HUFU",,"Marcusso, GM","21º 30' 42"""" S","47º 15' 45"""" W",,,"Marcusso, G.M.","-47.2625","-21.5116666666667",,"Holoepífita.",,"499",,,,,"Jacq.",,,,,,,,,,,"REFLORA","Porto Ferreira","--/05/2014",,,,,,,,"SPECIES",,"545",,,,,,,,,,,,,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,"não",,,,,,,,,,,,,,,,,,,,,,,,,,"rigidum","ORCHIDACEAE Epidendrum rigidum Jacq.",,,,,,,,,,,,,,,,,,,,"HUFU",,"Saka, M.,Dickfeldt, E.P.,Marcusso, GM,Dickfeldt, EP,Saka, M","16/05/2014",,"METRO",,,"brazil_sao paulo_porto ferreira_parque estadual porto ferreira","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","cncflora",TRUE,-21.5116666666667,-47.2625,"coord_original","miliseconds","ok_same_resolution","Epidendrum rigidum","Jacq.","name_w_authors","Orchidaceae","Epidendrum rigidum","Jacq.","species","name accepted","bfo-11568",,,"Epidendrum rigidum Jacq.","Epidendrum","Orchidaceae","high","Epidendrum rigidum"
"Epiphyllum phyllanthus","speciesLink","HRCB","54943","Epiphyllum phyllanthus","Plantae","Cactaceae","Epiphyllum","2011","03","17","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira trilha da pesquisa","UNESP-RC","PreservedSpecimen","Lombardi, J.A.","21º49'S","47º25'W","15","phyllanthus","Lombardi, J.A.","-47.416667","-21.816667","2025-02-04T08:00:14","<nO>Arbusto epífita carnoso, frutos maduros vermelhos, esponjosos.Habitat: trilha próxima a margem do rio</nO>",,"8086","HRCB054943",,"520","520","(L.) Haw.","2011","03",,,,,,,,,"SPLINK","Porto Ferreira","2011-03-NA",,,,,,,,,,,,,"HRCB",,"Lombardi, J.A.","8086","2011","Lombardi, J.A.","2011",,"Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira trilha da pesquisa","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Epiphyllum phyllanthus","(L.) Haw.","possibly_ok","Cactaceae","Epiphyllum phyllanthus","(L.) Haw.","species","name accepted","bfo-1512",,,"Epiphyllum phyllanthus (L.) Haw.","Epiphyllum","Cactaceae","high","Epiphyllum phyllanthus"
